description,id,calls,totalTime,childTime,active,parentId
application::main,0,1,115.639085322,82.695012508,true,
CPCCellToCellStencilCellBased::calcCellStencil,1,1,5.987475259,0.107217421,false,0
CPCCellToCellStencilCellBased::calcPointBoundaryData,2,1,0.107217421,0,false,1
CPCCellToCellStencilUniqueList::calcCellStencil,3,1,4.022962717,0,false,0
CPCCellToCellStencilUniqueListInsert::calcCellStencil,4,1,2.486717542,0,false,0
CPCCellToCellStencilCellBasedBitSet::calcCellStencil,5,1,70.19785699,0,false,0
